task,data_id,et_cm,er_deg,ej_cm,eft_cm,n_frames,success
A01001-0001-0000,0,2.2624,5.4443,4.5621,4.5548,41,1
A01001-0001-0001,0,1.0064,6.5764,2.8039,2.5255,59,1
A01001-0001-0002,0,2.4707,4.9272,3.4554,3.5641,60,1
A01002-0001-0000,0,0.8070,2.8446,4.3241,4.2679,61,1
A01002-0001-0001,0,1.8687,14.7450,4.5460,4.5683,59,1
A01002-0001-0002,0,3.7542,8.1315,2.7192,2.7720,77,0
A01005-0001-0000,0,0.7598,3.9526,2.4101,2.2663,77,1
A01005-0001-0001,0,4.0745,11.0674,2.9285,2.8518,51,0
A01005-0001-0001,1,0.7725,6.8916,3.3681,3.3112,50,1
A01005-0001-0002,0,0.9245,2.8523,2.5737,2.6753,58,1
A01006-0001-0000,0,1.5176,4.0079,3.7831,3.7381,59,1
A01006-0001-0000,1,1.8773,3.7627,3.6113,3.6227,81,1
A01006-0001-0001,0,5.4573,12.7735,4.8378,4.8164,60,0
A01006-0001-0002,0,0.6133,4.2401,3.3470,3.2012,60,1
A01008-0001-0000,0,0.9915,2.5599,3.2749,3.3598,75,1
A01008-0001-0001,0,2.0532,4.6228,2.9396,2.9003,60,1
A01008-0001-0002,0,2.3084,16.2260,4.4607,4.4044,71,1
A01009-0001-0000,0,1.3835,3.2718,3.2320,3.1467,61,1
A01009-0001-0001,0,14.8399,52.2899,3.5940,3.6255,58,0
A01009-0001-0002,0,0.9894,1.7184,2.3993,2.3931,51,1
A01010-0001-0000,0,1.1868,5.0484,3.5455,3.5400,65,1
A01010-0001-0001,0,1.5651,11.1067,2.8776,2.8273,69,1
A01010-0001-0002,0,0.8936,1.4654,2.8206,2.8669,71,1
A01023-0001-0000,0,1.3031,3.2914,3.5721,3.4893,61,1
A01023-0001-0001,0,2.9313,5.3130,2.8277,2.7498,59,1
A01023-0001-0002,0,2.3448,6.1391,4.5274,4.5297,71,1
A01026-0001-0000,0,3.0060,4.8514,3.8964,3.8692,91,0
A01026-0001-0001,0,0.8639,3.8071,2.5634,2.4121,67,1
A01026-0001-0002,0,9.3754,6.3823,4.6643,4.5205,61,0
A01027-0001-0001,0,1.5500,4.4225,3.1083,3.0553,81,1
A01027-0001-0002,0,1.5569,7.5126,3.0923,3.0900,71,1
A02011-0001-0000,0,1.0588,2.3019,2.7988,2.6191,70,1
A02011-0001-0004,0,1.8206,2.9285,3.7037,3.5008,77,1
