task,data_id,et_cm,er_deg,ej_cm,eft_cm,n_frames,success
subject_1-20231025_170231-G10_1,540,1.5356,5.8187,4.0160,3.2182,310,1
subject_1-20231025_170231-G10_2,250,2.1678,15.1845,4.1257,2.9295,290,1
subject_1-20231025_170231-G10_3,830,1.2526,3.6046,3.7419,2.7968,246,1
subject_1-20231025_170231-G10_4,0,1.2302,4.3999,3.6561,2.9144,250,1
subject_2-20231022_201556-G05_1,380,1.0214,8.0724,4.3509,3.2485,500,1
subject_2-20231022_201556-G05_2,0,2.6732,16.8435,4.2214,3.0515,380,1
subject_2-20231022_203100-G09_2,680,4.1058,2.5552,9.7473,8.6633,600,0
subject_2-20231022_203100-G09_4,0,1.2306,2.4492,5.0693,3.8606,630,1
subject_2-20231023_164242-G19_1,30,1.6754,5.1041,4.6019,3.7074,480,1
subject_2-20231023_164242-G19_2,950,2.0778,4.2647,6.8469,5.1051,570,1
subject_2-20231023_164242-G19_4,510,2.0136,5.6687,4.3168,3.1760,450,1
subject_2-20231023_164741-G22_2,1080,2.2200,4.7941,3.7521,2.8346,500,1
subject_2-20231023_164741-G22_3,0,16.5435,64.1768,5.2077,4.2561,550,0
subject_2-20231023_164741-G22_4,550,7.2143,14.0929,3.9236,2.6953,500,0
subject_3-20231024_154810-G09_1,1100,4.5812,5.6576,5.3064,4.0533,130,0
subject_3-20231024_154810-G09_2,600,2.1241,2.6958,5.8549,5.1728,400,1
subject_3-20231024_154810-G09_4,0,13.1427,67.5696,3.3840,2.4260,500,0
subject_4-20231026_162248-G11_1,344,19.6091,40.1749,3.9269,3.0956,430,0
subject_4-20231026_162248-G11_2,0,1.0349,3.8820,3.8239,2.8409,350,1
subject_4-20231026_164958-G21_1,0,14.3970,42.4086,4.3812,3.4914,360,0
subject_4-20231026_164958-G21_3,750,3.8064,13.3633,5.7858,4.9015,500,0
subject_4-20231026_164958-G21_4,350,2.3666,13.4882,5.2447,4.1415,420,1
subject_6-20231025_111357-G06_1,1850,22.1532,88.8396,3.8904,2.8440,510,0
subject_6-20231025_111357-G06_2,0,0.7780,2.5668,3.2075,2.2403,500,1
subject_6-20231025_111357-G06_3,550,1.2709,3.2940,5.2723,4.5397,560,1
subject_6-20231025_111357-G06_4,1150,17.6704,44.2433,4.8101,3.5495,660,0
subject_6-20231025_112332-G09_1,0,2.6999,11.7574,3.5586,2.7151,400,1
subject_6-20231025_112332-G09_2,1050,3.4677,4.9588,4.7602,4.0356,600,0
subject_6-20231025_112332-G09_3,450,14.3661,48.9498,5.0604,4.1856,600,0
subject_6-20231025_112332-G09_4,1720,0.9995,2.7386,3.2813,2.3778,536,1
subject_9-20231027_125019-G16_1,1030,1.0602,3.0382,3.3353,2.4171,386,1
subject_9-20231027_125019-G16_2,0,0.9898,3.4154,3.1432,2.2538,320,1
subject_9-20231027_125019-G16_3,730,1.4369,10.4797,3.3409,2.3621,270,1
subject_9-20231027_125019-G16_4,370,2.0535,6.0709,4.3599,3.3296,330,1
MEAN,,5.2050,16.9595,4.5090,3.5127,15018,
STD,,6.2046,21.8887,1.2526,1.2089,,
SR,,64.7%,79.4%,97.1%,97.1%,34,64.7%
