task,data_id,et_cm,er_deg,ej_cm,eft_cm,n_frames,success
A01001-0001-0000,0,1.3213,2.7606,4.4566,3.7529,41,1
A01001-0001-0001,0,1.7924,5.0169,4.6642,4.1660,59,1
A01001-0001-0002,0,4.8971,6.8601,4.9910,5.0239,60,0
A01002-0001-0000,0,1.6447,3.6327,4.4008,4.1937,61,1
A01002-0001-0001,0,6.2524,48.8553,7.6658,7.7709,59,0
A01002-0001-0002,0,0.6000,2.1408,2.6390,1.6958,77,1
A01005-0001-0000,0,1.1539,3.7740,4.2642,3.9259,77,1
A01005-0001-0001,0,2.2716,4.8217,4.8048,3.9453,51,1
A01005-0001-0001,1,1.5264,5.1852,3.8378,3.6839,50,1
A01005-0001-0002,0,0.8024,2.5041,4.1202,4.1706,58,1
A01006-0001-0000,0,1.6498,8.3312,4.8242,4.7053,59,1
A01006-0001-0000,1,2.8586,2.7042,4.8609,4.4347,81,1
A01006-0001-0001,0,2.5584,3.4527,5.6243,5.9937,60,1
A01006-0001-0002,0,1.1446,4.3120,4.2317,3.8191,60,1
A01008-0001-0000,0,0.6522,2.6062,4.8687,4.6927,75,1
A01008-0001-0001,0,1.7674,3.5078,4.4051,4.1430,60,1
A01008-0001-0002,0,5.3894,6.1147,7.0210,6.4385,71,0
A01009-0001-0000,0,0.6545,2.2781,3.6497,2.6046,61,1
A01009-0001-0001,0,12.5132,38.2779,5.2767,4.6055,58,0
A01009-0001-0002,0,1.0297,1.6564,3.8142,3.3154,51,1
A01010-0001-0000,0,0.5515,3.8357,3.9615,3.5840,65,1
A01010-0001-0001,0,8.6253,6.3724,6.1402,5.9373,69,0
A01010-0001-0002,0,0.4406,1.2461,4.2235,3.7083,71,1
A01023-0001-0000,0,1.5008,4.0151,3.4468,2.8786,61,1
A01023-0001-0001,0,1.5938,3.4066,4.4460,4.3437,59,1
A01023-0001-0002,0,0.9455,3.1113,5.6640,5.8586,71,1
A01026-0001-0000,0,3.7393,2.8425,5.6995,5.5020,91,0
A01026-0001-0001,0,0.7268,3.6275,3.6293,3.2320,67,1
A01026-0001-0002,0,9.4164,2.2398,6.6712,6.6353,61,0
A01027-0001-0001,0,2.1577,4.3644,4.7953,4.5047,81,1
A01027-0001-0002,0,1.4231,3.4582,4.9607,4.8587,71,1
A02011-0001-0000,0,0.6859,1.6914,2.9806,1.8731,70,1
A02011-0001-0004,0,3.9251,8.5580,4.5725,4.3192,77,0
A02012-0001-0000,0,0.5269,1.5370,4.2918,3.8874,51,1
A02012-0001-0004,0,1.7667,5.3559,5.1020,4.4645,87,1
A02014-0001-0005,0,1.2642,3.5988,3.2105,2.3041,56,1
A02014-0001-0006,0,2.8462,3.8295,3.6125,2.9715,65,1
A02015-0001-0004,0,0.8956,4.1505,4.0969,3.2239,88,1
A02015-0001-0006,0,3.2707,4.1369,5.0671,4.6278,59,0
A02018-0001-0000,0,4.1347,4.1387,7.3259,6.3516,79,0
A02018-0001-0002,0,3.9183,6.0774,6.5584,5.6541,81,0
A02021-0001-0004,0,0.8379,2.6799,3.7532,2.8939,105,1
A02021-0001-0005,0,3.3940,4.4126,4.6817,4.0894,77,0
A02028-0001-0005,0,3.3212,4.6284,3.9204,3.1262,71,0
A02028-0001-0006,0,0.5671,1.1371,4.0333,3.7378,61,1
A02029-0001-0005,0,4.4085,2.7949,3.0845,1.8059,101,0
A02029-0001-0006,0,4.3787,2.1530,5.6190,5.1054,130,0
A02030-0001-0005,0,3.2982,2.2412,3.6391,3.0364,75,0
