task,data_id,et_cm,er_deg,ej_cm,eft_cm,n_frames,success
A01001-0001-0000,0,2.1928,5.3354,5.0775,5.1495,41,1
A01001-0001-0001,0,1.2517,6.4018,3.0640,3.1043,59,1
A01001-0001-0002,0,1.1705,3.2242,2.6943,2.6451,60,1
A01002-0001-0000,0,0.6594,3.4215,3.7563,3.6009,61,1
A01002-0001-0001,0,0.7333,4.0625,3.3427,3.3553,59,1
A01002-0001-0002,0,0.7911,2.5611,2.7423,2.6745,77,1
A01005-0001-0000,0,0.8120,4.8562,3.1102,3.1004,77,1
A01005-0001-0001,0,2.2389,7.1308,2.5051,2.5698,51,1
A01005-0001-0001,1,1.2244,6.4408,4.4948,4.1588,50,1
A01005-0001-0002,0,0.9464,3.0402,2.7195,2.5685,58,1
A01006-0001-0000,0,0.9589,3.9833,4.4221,4.2857,59,1
A01006-0001-0000,1,0.7260,3.0488,2.9529,2.8064,81,1
A01006-0001-0001,0,1.2772,6.4396,3.8581,3.6840,60,1
A01006-0001-0002,0,0.9948,3.6560,3.7481,3.4943,60,1
A01008-0001-0000,0,0.7969,3.3452,3.8521,3.5809,75,1
A01008-0001-0001,0,1.2809,4.6837,3.3180,3.3229,60,1
A01008-0001-0002,0,0.9486,4.8954,4.2812,4.6598,71,1
A01009-0001-0000,0,0.9806,3.5600,3.1512,3.0782,61,1
A01009-0001-0001,0,3.5696,10.9304,3.3129,3.2391,58,0
A01009-0001-0002,0,1.0696,1.9661,3.4282,3.1896,51,1
A01010-0001-0000,0,1.0264,3.6544,3.8573,3.6929,65,1
A01010-0001-0001,0,0.8464,4.0434,3.3462,3.2141,69,1
A01010-0001-0002,0,0.7945,1.7461,4.2791,4.3627,71,1
A01023-0001-0000,0,1.2036,4.2957,3.4890,3.1069,61,1
A01023-0001-0001,0,0.9151,3.7543,3.7157,3.6140,59,1
A01023-0001-0002,0,0.9356,7.8806,4.7983,4.7305,71,1
A01026-0001-0000,0,6.0859,3.4601,4.4348,4.3898,91,0
A01026-0001-0001,0,0.9137,3.9396,2.4626,2.1882,67,1
A01026-0001-0002,0,9.4340,7.5176,5.3502,5.4793,61,0
A01027-0001-0001,0,2.2360,5.2444,3.8037,3.8781,81,1
A01027-0001-0002,0,3.8118,9.2548,4.1199,3.8182,71,0
A02011-0001-0000,0,0.4183,1.4426,2.7294,2.2857,70,1
A02011-0001-0004,0,3.2332,5.2421,4.5745,4.1727,77,0
A02012-0001-0000,0,0.8847,1.9214,3.2533,3.2281,51,1
A02012-0001-0004,0,0.8082,3.3348,2.7792,2.4386,87,1
A02014-0001-0005,0,4.3545,4.3713,3.6232,3.5876,56,0
A02014-0001-0006,0,2.8999,4.0473,3.8284,3.6912,65,1
A02015-0001-0004,0,0.9358,5.2731,2.8298,2.6778,88,1
A02015-0001-0006,0,0.8934,2.1407,3.0613,2.6542,59,1
