task,data_id,et_cm,er_deg,ej_cm,eft_cm,n_frames,success
subject_1-20231025_170231-G10_1,540,6.6026,12.1274,3.0777,3.0488,310,0
subject_1-20231025_170231-G10_2,250,1.5492,8.0581,3.8950,3.6686,290,1
subject_1-20231025_170231-G10_3,830,6.0912,32.0417,4.6637,4.6199,246,0
subject_1-20231025_170231-G10_4,0,2.7074,7.4045,5.6504,5.6049,250,1
subject_2-20231022_201556-G05_1,380,1.1104,4.9476,3.8602,3.8985,500,1
subject_2-20231022_201556-G05_2,0,3.4654,17.4415,3.5776,3.3097,380,0
subject_2-20231022_203100-G09_2,680,1.3181,2.3933,3.7278,3.4377,600,1
subject_2-20231022_203100-G09_4,0,2.8321,17.4376,4.4560,4.2851,630,1
subject_2-20231023_164242-G19_1,30,10.9341,53.8051,4.3182,4.1219,480,0
subject_2-20231023_164242-G19_2,950,7.9168,19.2243,5.5581,5.2164,570,0
subject_2-20231023_164242-G19_4,510,5.3242,8.4162,5.5080,5.3018,450,0
subject_2-20231023_164741-G22_2,1080,10.8466,50.8339,4.2470,4.0527,500,0
subject_2-20231023_164741-G22_3,0,14.2456,78.5653,3.5298,3.4653,550,0
subject_2-20231023_164741-G22_4,550,6.5267,16.5045,2.6571,2.3133,500,0
subject_3-20231024_154810-G09_1,1100,2.3255,45.2366,3.7794,3.5777,130,0
subject_3-20231024_154810-G09_2,600,1.1442,2.4843,4.5101,4.6590,400,1
subject_3-20231024_154810-G09_4,0,21.6883,98.8543,3.0969,2.9653,500,0
subject_4-20231026_162248-G11_1,344,8.2606,36.5120,3.7167,3.6651,430,0
subject_4-20231026_162248-G11_2,0,19.9832,70.3065,2.8245,2.7457,350,0
subject_4-20231026_164958-G21_1,0,18.5228,70.9829,2.9326,2.8663,360,0
subject_4-20231026_164958-G21_3,750,21.7753,38.9354,4.0011,3.9957,500,0
subject_4-20231026_164958-G21_4,350,16.0995,41.2539,3.1207,2.9861,420,0
subject_6-20231025_111357-G06_1,1850,21.2710,86.7554,3.3368,3.2274,510,0
subject_6-20231025_111357-G06_2,0,2.2119,10.3015,3.9250,4.0690,500,1
subject_6-20231025_111357-G06_3,550,3.8654,19.5617,4.1353,4.0465,560,0
subject_6-20231025_111357-G06_4,1150,9.8814,34.6663,6.4965,6.4978,660,0
subject_6-20231025_112332-G09_1,0,16.6091,63.4496,4.1897,4.0788,400,0
subject_6-20231025_112332-G09_2,1050,10.9042,45.7540,6.6525,6.7300,600,0
subject_6-20231025_112332-G09_3,450,11.1937,45.7707,4.1970,4.1207,600,0
subject_6-20231025_112332-G09_4,1720,2.5759,5.7670,3.4441,3.4380,536,1
subject_9-20231027_125019-G16_1,1030,4.3838,32.7872,3.1341,3.1674,386,0
subject_9-20231027_125019-G16_2,0,1.2336,4.1659,4.4014,4.3495,320,1
subject_9-20231027_125019-G16_3,730,3.0486,7.4830,7.4642,7.4541,270,0
subject_9-20231027_125019-G16_4,370,6.1982,66.7071,3.3531,3.2766,330,0
MEAN,,8.3720,34.0275,4.1600,4.0665,15018,
STD,,6.6207,26.7607,1.1176,1.1455,,
SR,,29.4%,47.1%,100.0%,91.2%,34,26.5%
